"         B80K","  20.0","    28","  49.54","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  51.99","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28"," 100.52","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28","  94.19","  282215","    564430","         2886","         67"
"         B80K","  10.0","    28","  47.03","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  49.16","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  58.42","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28","  96.71","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28","  93.43","  282215","    564430","         2886","         67"
"         B80K","  10.0","    28","  47.68","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  50.56","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  57.34","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28","  98.57","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28","  90.85","  282215","    564430","         2886","         67"
"         B80K","  10.0","    28","  47.58","   53959","    107918","        14349","       1482"
"         B80K","  20.0","    28","  53.23","  110682","    221364","        15156","        674"
"         B80K","  30.0","    28","  57.24","  165698","    331396","        14487","        393"
"         B80K","  40.0","    28","  86.81","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 108.78","  282215","    564430","         2886","         67"
"         B20K","  40.0","     7"," 136.39","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 140.12","   66825","    133650","         1031","         19"
"         B20K","  40.0","     7"," 135.21","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 142.71","   66825","    133650","         1031","         19"
"         B20K","  40.0","     7"," 137.33","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 141.47","   66825","    133650","         1031","         19"
"         B20K","  40.0","     7"," 135.40","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 139.70","   66825","    133650","         1031","         19"
"         B20K","  40.0","     7"," 136.13","   52767","    105534","          414","         35"
"         B20K","  50.0","     7"," 140.78","   66825","    133650","         1031","         19"
"         B40K","  40.0","    14","  83.14","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14","  96.76","  150902","    301804","         1544","         25"
"         B40K","  40.0","    14","  80.96","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14","  97.27","  150902","    301804","         1544","         25"
"         B40K","  40.0","    14","  86.29","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 104.31","  150902","    301804","         1544","         25"
"         B40K","  40.0","    14","  81.05","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 102.40","  150902","    301804","         1544","         25"
"         B40K","  40.0","    14","  82.80","  120554","    241108","         1964","         55"
"         B40K","  50.0","    14"," 101.89","  150902","    301804","         1544","         25"
"         B60K","  40.0","    21","  79.78","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 106.70","  213650","    427300","         1544","         25"
"         B60K","  40.0","    21","  84.48","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 102.76","  213650","    427300","         1544","         25"
"         B60K","  40.0","    21","  82.69","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 103.84","  213650","    427300","         1544","         25"
"         B60K","  40.0","    21","  79.48","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 102.66","  213650","    427300","         1544","         25"
"         B60K","  40.0","    21","  84.03","  169953","    339906","         1992","         56"
"         B60K","  50.0","    21"," 102.83","  213650","    427300","         1544","         25"
"         B80K","  40.0","    28","  95.00","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 103.61","  282215","    564430","         2886","         67"
"         B80K","  40.0","    28","  96.52","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 152.94","  282215","    564430","         2886","         67"
"         B80K","  40.0","    28","  85.70","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 107.13","  282215","    564430","         2886","         67"
"         B80K","  40.0","    28","  98.78","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28"," 110.29","  282215","    564430","         2886","         67"
"         B80K","  40.0","    28","  88.95","  223602","    447204","         3372","        130"
"         B80K","  50.0","    28","  92.96","  282215","    564430","         2886","         67"
