"PBFE-RDD" 180 "40K" 3203072 10.526
"PBFE-DF" 190 "40K" 3450190 10.65
"PBFE-RDD" 190 "40K" 3450190 10.48
"PBFE-DF" 200 "40K" 3702984 11.764
"PBFE-RDD" 200 "40K" 3702984 10.028
"PBFE-DF" 110 "50K" 2571272 11.365
"PBFE-RDD" 110 "50K" 2571272 11.135
"PBFE-DF" 120 "50K" 2872576 12.09
"PBFE-RDD" 120 "50K" 2872576 11.377
"PBFE-DF" 130 "50K" 3185454 11.855
"PBFE-RDD" 130 "50K" 3185454 10.057
"PBFE-DF" 140 "50K" 3511198 12.703
"PBFE-RDD" 140 "50K" 3511198 11.316
"PBFE-DF" 150 "50K" 3849588 12.815
"PBFE-RDD" 150 "50K" 3849588 10.538
"PBFE-DF" 160 "50K" 4203374 11.471
"PBFE-RDD" 160 "50K" 4203374 11.681
"PBFE-DF" 170 "50K" 4566136 12.811
"PBFE-RDD" 170 "50K" 4566136 10.141
"PBFE-DF" 180 "50K" 4939022 12.929
"PBFE-RDD" 180 "50K" 4939022 12.917
"PBFE-DF" 190 "50K" 5322634 11.409
"PBFE-RDD" 190 "50K" 5322634 10.281
"PBFE-DF" 200 "50K" 5715324 11.836
"PBFE-RDD" 200 "50K" 5715324 10.241
"PBFE-DF" 110 "60K" 3657074 11.019
"PBFE-RDD" 110 "60K" 3657074 10.192
"PBFE-DF" 120 "60K" 4088256 10.768
"PBFE-RDD" 120 "60K" 4088256 11.237
"PBFE-DF" 130 "60K" 4534878 10.976
"PBFE-RDD" 130 "60K" 4534878 9.999
"PBFE-DF" 140 "60K" 4998506 11.876
"PBFE-RDD" 140 "60K" 4998506 11.369
"PBFE-DF" 150 "60K" 5480314 11.683
"PBFE-RDD" 150 "60K" 5480314 9.943
"PBFE-DF" 160 "60K" 5983946 12.238
"PBFE-RDD" 160 "60K" 5983946 11.077
"PBFE-DF" 170 "60K" 6501076 12.288
"PBFE-RDD" 170 "60K" 6501076 10.322
"PBFE-DF" 180 "60K" 7033626 11.298
"PBFE-RDD" 180 "60K" 7033626 11.205
"PBFE-DF" 190 "60K" 7578608 13.086
"PBFE-RDD" 190 "60K" 7578608 10.426
"PBFE-DF" 200 "60K" 8136342 13.174
"PBFE-RDD" 200 "60K" 8136342 10.205
"PBFE-DF" 110 "70K" 4968516 14.034
"PBFE-RDD" 110 "70K" 4968516 11.022
"PBFE-DF" 120 "70K" 5555174 10.902
"PBFE-RDD" 120 "70K" 5555174 10.981
"PBFE-DF" 130 "70K" 6163516 13.309
"PBFE-RDD" 130 "70K" 6163516 11.318
"PBFE-DF" 140 "70K" 6795314 13.534
"PBFE-RDD" 140 "70K" 6795314 10.978
"PBFE-DF" 150 "70K" 7450994 11.821
"PBFE-RDD" 150 "70K" 7450994 10.886
"PBFE-DF" 160 "70K" 8135106 13.432
"PBFE-RDD" 160 "70K" 8135106 11.189
"PBFE-DF" 170 "70K" 8839152 13.969
"PBFE-RDD" 170 "70K" 8839152 11.848
"PBFE-DF" 180 "70K" 9563706 13.799
"PBFE-RDD" 180 "70K" 9563706 12.526
"PBFE-DF" 190 "70K" 10305904 13.884
"PBFE-RDD" 190 "70K" 10305904 10.447
"PBFE-DF" 200 "70K" 11067052 11.546
"PBFE-RDD" 200 "70K" 11067052 11.312
"PBFE-DF" 110 "80K" 6444160 15.139
"PBFE-RDD" 110 "80K" 6444160 10.579
"PBFE-DF" 120 "80K" 7207104 11.977
"PBFE-RDD" 120 "80K" 7207104 10.781
"PBFE-DF" 130 "80K" 7997580 12.186
"PBFE-RDD" 130 "80K" 7997580 12.78
"PBFE-DF" 140 "80K" 8818552 12.687
"PBFE-RDD" 140 "80K" 8818552 11.751
"PBFE-DF" 150 "80K" 9671534 11.869
