"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"avg_dcache_power_cc3",1.4752,1.5191,1.5433,1.554," avg power usage of dcache_cc3",1.4752,1.554,0.0788,0.0349909512112298,0.444047604203424
"avg_bpred_power_cc2",0.3232,0.3396,0.3486,0.3526," avg power usage of bpred unit_cc2",0.3232,0.3526,0.0294,0.0130527136386781,0.443969851655718
"avg_dcache_access",0.3307,0.3475,0.3567,0.3608," avg number accesses of dcache",0.3307,0.3608,0.0301,0.0133622291054549,0.443927877257639
"avg_lsq_access",0.3391,0.3563,0.3657,0.3699," avg number accesses of lsq",0.3391,0.3699,0.0308,0.0136717470232106,0.443887890363979
"avg_lsq_power_cc3",0.1672,0.1708,0.1728,0.1737," avg power usage of instruction lsq_cc3",0.1672,0.1737,0.00650000000000001,0.00288371866404012,0.443649025236942
"avg_lsq_power_cc1",0.1266,0.133,0.1365,0.1381," avg power usage of lsq_cc1",0.1266,0.1381,0.0115,0.0050993463633424,0.443421422899339
"avg_rename_power_cc3",0.1346,0.1394,0.142,0.1432," avg power usage of rename unit_cc3",0.1346,0.1432,0.0086,0.00381226092146554,0.443286153658784
"avg_dispatch_power_cc3",0.1346,0.1394,0.142,0.1432," average power of dispatch unit per cycle_cc3",0.1346,0.1432,0.0086,0.00381226092146554,0.443286153658784
"sim_inst_rate",1000296.8414,986687.3605,954230.5395,993445.4932," simulation speed (in insts/sec)",954230.5395,1000296.8414,46066.3019000001,20394.4299870844,0.442719062436492
"avg_issue_power_cc1",5.3223,5.6786,5.8045,5.8812," average power of issue unit per cycle_cc1",5.3223,5.8812,0.5589,0.247422748886731,0.442695918566348
"avg_sim_slip",10.6533,10.8215,11.0387,11.1747," the average slip between issue and retirement",10.6533,11.1747,0.5214,0.230778472421787,0.442613103992686
"sim_slip",1545188473,1569585831,1601087281,1620816820," total number of slip cycles",1545188473,1620816820,75628347,33473577.861659,0.442606234163217
"avg_total_power_insn_cc2",8.1817,8.2723,8.2538,8.2538," average total power per insn_cc2",8.1817,8.2723,0.0906000000000002,0.0400933078372607,0.442530991581243
"avg_lsq_power_cc2",0.0836,0.0878,0.0901,0.0912," avg power usage of instruction lsq_cc2",0.0836,0.0912,0.00760000000000001,0.00336291044582913,0.442488216556464
"avg_window_power_cc1",1.0611,1.1309,1.1446,1.1596," avg power usage of instruction window_cc1",1.0611,1.1596,0.0985,0.0435726596235147,0.442362026634667
"IFQ_fcount",64042705,64989364,66698770,68412345," cumulative IFQ full count",64042705,68412345,4369640,1928293.83471348,0.44129352411491
"avg_issue_power_cc2",3.4702,3.7023,3.7856,3.839," average power of issue unit per cycle_cc2",3.4702,3.839,0.3688,0.162746825365863,0.441287487434552
"clock_power_cc3",859424508.3316,844801864.9783,834106347.3907,828637421.2888," total power usage of clock_cc3",828637421.2888,859424508.3316,30787087.0427999,13565483.7412634,0.440622515615225
"ifq_latency",1.713,1.7361,1.7764,1.8172," avg IFQ occupant latency (cycle's)",1.713,1.8172,0.1042,0.0458954881587867,0.440455740487397
"issue_stage_power_cc1",864338354.4089,877791141.8578,873960142.8505,875538825.0667," total power usage of issue stage_cc1",864338354.4089,877791141.8578,13452787.4489,5924866.8605124,0.440419272438357
"avg_regfile_power_cc1",1.372,1.4716,1.4837,1.5078," avg power usage of arch. regfile_cc1",1.372,1.5078,0.1358,0.059774820507189,0.440168044971937
"IFQ_count",287836570,291812148,298633787,305545297," cumulative IFQ occupancy",287836570,305545297,17708727,7793625.80319287,0.440100849891292
"resultbus_power_cc3",99623525.4234,102875077.5581,98240346.7484,99002925.0127," total power usage of resultbus_cc3",98240346.7484,102875077.5581,4634730.8097,2039745.49114632,0.44010009963844
"avg_regfile_power_cc2",0.3317,0.3557,0.3596,0.3653," avg power usage of arch. regfile_cc2",0.3317,0.3653,0.0336,0.0147852122067964,0.440036077583225
"clock_power_cc1",850012136.8416,860646438.8141,858991353.2283,856394153.5259," total power usage of clock_cc1",850012136.8416,860646438.8141,10634301.9725001,4672718.04451915,0.439400541436817
"avg_window_power_cc2",0.7614,0.812,0.8244,0.8366," avg power usage of instruction window_cc2",0.7614,0.8366,0.0752,0.0330304909641582,0.439235252182954
"total_lsq_access",55064922,55072202,55066214,55063459," total number accesses of load/store queue",55063459,55072202,8743,3837.25434610043,0.438894469415582
"avg_window_power_cc3",0.8668,0.9118,0.9213,0.9323," avg power usage of instruction window_cc3",0.8668,0.9323,0.0655,0.028747463656237,0.438892574904382
"lsq_latency",2.3247,2.366,2.4175,2.4558," avg LSQ occupant latency (cycle's)",2.3247,2.4558,0.1311,0.0575093615567645,0.438667898983711
"LSQ_count",390623140,397679758,406426320,412923648," cumulative LSQ occupancy",390623140,412923648,22300508,9780690.2153338,0.438585982675094
"RUU_fcount",33838581,34888205,36443148,37885333," cumulative RUU full count",33838581,37885333,4046752,1773466.5466309,0.43824443569334
"total_power",11053467426.2067,10599700687.2674,10446586047.6066,10328122108.4442," total power per cycle",10328122108.4442,11053467426.2067,725345317.762499,317748303.600914,0.438064871751133
"avg_total_power_insn",65.7834,63.0621,62.139,61.4261," average total power per insn",61.4261,65.7834,4.3573,1.90853400022111,0.438008399747805
"total_power_cycle_cc3",2245692932.8348,2215727730.7467,2196637266.6415,2185591451.3164," total power per cycle_cc3",2185591451.3164,2245692932.8348,60101481.5183997,26317312.1037669,0.43788125415361
"lsq_occupancy",2.4053,2.5727,2.6993,2.7737," avg LSQ occupancy (insn's)",2.4053,2.7737,0.3684,0.161281648057056,0.437789489839999
"total_icache_access",181468213,181508012,181542818,181564188," total number accesses of icache",181468213,181564188,95975,42016.8067196529,0.437789077568668
"avg_total_power_insn_cc3",13.365,13.1823,13.0662,12.9987," average total power per insn_cc3",12.9987,13.365,0.366300000000001,0.160359190569172,0.437781028034867
"ruu_latency",6.5885,6.719,6.8782,7.003," avg RUU occupant latency (cycle's)",6.5885,7.003,0.4145,0.181278393178375,0.437342323711398
"RUU_count",1107051947,1129347026,1156337031,1177470023," cumulative RUU occupancy",1107051947,1177470023,70418076,30789178.3492717,0.437234018567502
"ul2.hits",2762686,4476027,5622192,6309700," total number of hits",2762686,6309700,3547014,1550331.64169077,0.437080778844055
"ul2.miss_rate",0.6067,0.3632,0.2005,0.1027," miss rate (i.e., misses/ref)",0.1027,0.6067,0.504,0.22026557266173,0.437034866392322
"ul2.repl_rate",0.6067,0.3631,0.2004,0.1026," replacement rate (i.e., repls/ref)",0.1026,0.6067,0.5041,0.220309222079634,0.437034759134366
"ul2.misses",4262485,2552860,1409689,722270," total number of misses",722270,4262485,3540215,1547170.25214228,0.43702720093053
"ul2.replacements",4261973,2552348,1409177,721758," total number of replacements",721758,4261973,3540215,1547170.25214228,0.43702720093053
"ruu_occupancy",6.8168,7.306,7.6799,7.9093," avg RUU occupancy (insn's)",6.8168,7.9093,1.0925,0.477337316091392,0.43692202845894
"bpred_bimod.retstack_pushes",1897230,1900629,1903166,1904716," total number of address pushed onto ret-addr stack",1897230,1904716,7486,3270.72788789692,0.436912621947225
"sim_total_branches",26885339,26898865,26906733,26911682," total number of branches executed",26885339,26911682,26343,11493.7775738295,0.436312400783112
"bpred_bimod.retstack_pops",1745312,1748202,1750214,1751493," total number of address popped off of ret-addr stack",1745312,1751493,6181,2694.14691198036,0.435875572234325
"bpred_bimod.lookups",28166130,28181238,28190580,28196541," total number of bpred lookups",28166130,28196541,30411,13253.525879931,0.435813550357797
"il1.accesses",181255696,181290917,181316931,181334870," total number of accesses",181255696,181334870,79174,34386.4901620777,0.43431543388079
"itlb.accesses",181255696,181290917,181316931,181334870," total number of accesses",181255696,181334870,79174,34386.4901620777,0.43431543388079
"rename_power_cc2",17557485.6025,17563284.6646,17566718.6691,17569083.7268," total power usage of rename unit_cc2",17557485.6025,17569083.7268,11598.1242999993,5036.61704079714,0.434261343517196
"dispatch_stage_power_cc2",17557485.6025,17563284.6646,17566718.6691,17569083.7268," total power usage of dispatch stage_cc2",17557485.6025,17569083.7268,11598.1242999993,5036.61704079714,0.434261343517196
"sim_total_insn",168028090,168083588,168116452,168139086," total number of instructions executed",168028090,168139086,110996,48201.2720440723,0.434261343148152
"total_rename_access",168028090,168083588,168116452,168139086," total number accesses of rename unit",168028090,168139086,110996,48201.2720440723,0.434261343148152
"ifq_full",0.3944,0.4204,0.443,0.4595," fraction of time (cycle's) IFQ was full",0.3944,0.4595,0.0651,0.0282662784957624,0.434197826355797
"itlb.hits",181165615,181200716,181226491,181244436," total number of hits",181165615,181244436,78821,34215.6514721942,0.434093090321034
