"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"lsq_power_cc1",4499385.2518,3732928.5988,3452401.734,3448692.0452," total power usage of lsq_cc1",3448692.0452,4499385.2518,1050693.2066,495570.883252851,0.471660880778413
"dl1.misses",42413,42454,42472,42472," total number of misses",42413,42472,59,27.8253481559531,0.471616070439882
"dl1.replacements",41901,41942,41960,41960," total number of replacements",41901,41960,59,27.8253481559531,0.471616070439882
"bpred_bimod.jr_hits",329064,329035,329020,329020," total number of address-predicted hits for JR's",329020,329064,44,20.7424685126915,0.471419738924808
"bpred_bimod.ras_hits.PP",322778,322749,322734,322734," total number of RAS hits",322734,322778,44,20.7424685126915,0.471419738924808
"bpred_power_cc1",17230646.4642,17200793.83,15750659.1534,13730884.2004," total power usage of bpred unit_cc1",13730884.2004,17230646.4642,3499762.2638,1649804.12477893,0.471404627063895
"dl1.writebacks",10541,10543,10544,10544," total number of writebacks",10541,10544,3,1.4142135623731,0.471404520791032
"alu_power_cc2",33293755.6429,33829012.3642,34105191.1246,34105365.0151," total power usage of alu_cc2",33293755.6429,34105365.0151,811609.372200001,382566.181343706,0.471367377518937
"avg_dcache_power_cc1",1.8584,2.8393,3.1791,3.1695," avg power usage of dcache_cc1",1.8584,3.1791,1.3207,0.622493959140703,0.471336381570911
"total_resultbus_access",28470713,28835948,29035000,29034603," total number accesses of resultbus",28470713,29035000,564287,265968.986448922,0.471336370408891
"total_alu_access",25769083,26166855,26372370,26371999," total number accesses of alu",25769083,26372370,603287,284312.926926623,0.471273087148609
"total_power_cycle_cc3",454871255.5014,318706967.9634,281487189.8581,278526670.527," total power per cycle_cc3",278526670.527,454871255.5014,176344584.9744,83020425.6636682,0.470785228113017
"avg_total_power_insn_cc3",17.5403,12.0084,10.3675,10.2582," average total power per insn_cc3",10.2582,17.5403,7.2821,3.42597500963837,0.470465251732107
"avg_clock_power_cc1",9.8914,12.052,12.475,12.3591," avg power usage of clock_cc1",9.8914,12.475,2.5836,1.21516106031258,0.470336375720925
"bpred_power_cc3",18629194.4312,13302620.1187,12369363.4496,12702874.8172," total power usage of bpred unit_cc3",12369363.4496,18629194.4312,6259830.9816,2944217.98136442,0.470335060166733
"avg_alu_power_cc1",4.4593,5.3979,5.768,5.7514," avg power usage of alu_cc1",4.4593,5.768,1.3087,0.614098246754269,0.469242948539978
"avg_issue_power_cc2",3.7702,6.9559,8.2533,8.3131," average power of issue unit per cycle_cc2",3.7702,8.3131,4.5429,2.1294292104928,0.468737856984042
"avg_dcache2_power_cc2",0.0061,0.0113,0.0135,0.0134," avg power usage of dcache2_cc2",0.0061,0.0135,0.0074,0.00346830890588867,0.468690392687658
"avg_issue_power_cc3",6.1971,9.168,10.3999,10.4579," average power of issue unit per cycle_cc3",6.1971,10.4579,4.2608,1.99643379784221,0.4685584392232
"avg_fetch_power_cc3",2.8985,3.1454,3.2005,3.1866," average power of fetch unit per cycle_cc3",2.8985,3.2005,0.302,0.141448424051548,0.468372265071352
"avg_dcache2_power_cc3",0.426,0.4302,0.4321,0.432," avg power usage of dcache2_cc3",0.426,0.4321,0.00609999999999999,0.00285350661467606,0.467787969619026
"clock_power_cc3",171261343.1471,122495429.9188,109362435.4049,107462727.977," total power usage of clock_cc3",107462727.977,171261343.1471,63798615.1701,29835547.7732725,0.4676519653871
"max_cycle_power_cc2",28.3208,31.5262,35.4247,34.9769," maximum cycle power usage of cc2",28.3208,35.4247,7.1039,3.32101652560377,0.467492015034526
"lsq_power_cc2",2295708.3565,2322169.8233,2282974.0551,2282254.1438," total power usage of lsq_cc2",2282254.1438,2322169.8233,39915.6794999996,18649.1185755633,0.467212854927435
"issue_stage_power_cc1",255732058.8116,171941474.8556,150622317.6055,155270912.0153," total power usage of issue stage_cc1",150622317.6055,255732058.8116,105109741.2061,49087833.8907091,0.467015077075086
"avg_rename_power_cc3",0.1105,0.2015,0.2478,0.2449," avg power usage of rename unit_cc3",0.1105,0.2478,0.1373,0.0640516133026067,0.466508472706531
"avg_dispatch_power_cc3",0.1105,0.2015,0.2478,0.2449," average power of dispatch unit per cycle_cc3",0.1105,0.2478,0.1373,0.0640516133026067,0.466508472706531
"avg_lsq_power_cc3",0.1668,0.233,0.2597,0.2574," avg power usage of instruction lsq_cc3",0.1668,0.2597,0.0929,0.0433346954914112,0.466466044041025
"avg_window_power_cc3",0.8489,1.5023,1.7388,1.7629," avg power usage of instruction window_cc3",0.8489,1.7629,0.914,0.426094178752382,0.466186191195166
"avg_lsq_power_cc2",0.0885,0.1639,0.1938,0.191," avg power usage of instruction lsq_cc2",0.0885,0.1938,0.1053,0.0490881519988955,0.46617428299046
"avg_window_power_cc2",0.8366,1.4899,1.7242,1.7485," avg power usage of instruction window_cc2",0.8366,1.7485,0.9119,0.425103634423419,0.466173521683758
"avg_lsq_access",0.3594,0.6615,0.7782,0.7667," avg number accesses of lsq",0.3594,0.7782,0.4188,0.195228353473567,0.466161302467925
"avg_regfile_access",1.6602,2.5649,2.8711,2.8302," avg number accesses of arch. regfile",1.6602,2.8711,1.2109,0.564171681907792,0.4659110429497
"avg_dcache_access",0.3391,0.6258,0.7721,0.7618," avg number accesses of dcache",0.3391,0.7721,0.433,0.201735586019588,0.465902046234615
"avg_dcache_power_cc2",1.0316,1.9041,2.3491,2.3176," avg power usage of dcache_cc2",1.0316,2.3491,1.3175,0.613790002090835,0.46587476439532
"avg_bpred_access",0.1468,0.2689,0.3233,0.3188," avg number accesses of bpred unit",0.1468,0.3233,0.1765,0.0822163203587544,0.465814846225237
"avg_alu_power_cc2",1.2831,2.3881,2.8947,2.854," avg power usage of alu_cc2",1.2831,2.8947,1.6116,0.750631358146816,0.465767782419221
"avg_bpred_power_cc2",0.332,0.6082,0.7312,0.7209," avg power usage of bpred unit_cc2",0.332,0.7312,0.3992,0.185927107132518,0.465749266364022
"avg_alu_access",0.9931,1.8472,2.2384,2.2068," avg number accesses of alu",0.9931,2.2384,1.2453,0.579991002085377,0.465743999104936
"sim_IPC",0.9915,1.8163,2.1838,2.153," instructions per cycle",0.9915,2.1838,1.1923,0.555302347074697,0.465740457162372
"avg_resultbus_access",1.0972,2.0356,2.4644,2.4296," avg number accesses of resultbus",1.0972,2.4644,1.3672,0.636751955892821,0.465734315310724
"LSQ_fcount",5827655,3034603,1203233,1332869," cumulative LSQ full count",1203233,5827655,4624422,2153604.33674062,0.465702381127981
"sim_exec_BW",0.9994,1.8736,2.3045,2.2721," total instructions (mis-spec + committed) per cycle",0.9994,2.3045,1.3051,0.607783113728354,0.465698501056129
"ifq_rate",0.9994,1.8736,2.3045,2.2721," avg IFQ dispatch rate (insn/cycle)",0.9994,2.3045,1.3051,0.607783113728354,0.465698501056129
