"metric","C1","C2","C4","desc","min","max","range","sd","index"
"avg_regfile_power_cc1",2.5601,2.5556,2.5706," avg power usage of arch. regfile_cc1",2.5556,2.5706,0.0150000000000001,0.00769740215917043,0.513160143944691
"avg_total_power_cycle_cc3",23.2299,23.2085,23.2391," average total power per cycle_cc3",23.2085,23.2391,0.0305999999999997,0.0157001061567535,0.513075364599792
"total_power_cycle_cc3",283780518.1068,284010709.7081,284545444.4444," total power per cycle_cc3",283780518.1068,284545444.4444,764926.337599993,392437.195287139,0.513039198674263
"avg_total_power_insn_cc3",10.4519,10.4604,10.4801," average total power per insn_cc3",10.4519,10.4801,0.0282,0.014465937001568,0.512976489417305
"avg_clock_power_cc2",7.9006,7.8954,7.8931," avg power usage of clock_cc2",7.8931,7.9006,0.00750000000000028,0.003842308333975,0.512307777863313
"dcache_power_cc1",37459111.9989,37458975.0885,37458914.2394," total power usage of dcache_cc1",37458914.2394,37459111.9989,197.759499996901,101.288277075031,0.512179071430796
"avg_regfile_power_cc2",0.7036,0.7024,0.7062," avg power usage of arch. regfile_cc2",0.7024,0.7062,0.00380000000000003,0.00194250697124448,0.511186045064333
"avg_lsq_power_cc1",0.2827,0.2823,0.2821," avg power usage of lsq_cc1",0.2821,0.2827,0.000599999999999989,0.000305505046330386,0.509175077217319
"total_resultbus_access",29035116,29035113,29035122," total number accesses of resultbus",29035113,29035122,9,4.58257569495584,0.509175077217316
"fetch_stage_power_cc1",40661334.7752,40661293.0979,40661307.0981," total power usage of fetch stage_cc1",40661293.0979,40661334.7752,41.6772999987006,21.2093721409151,0.508895061378169
"avg_window_power_cc3",1.7154,1.7129,1.7203," avg power usage of instruction window_cc3",1.7129,1.7203,0.00739999999999985,0.00376430604494367,0.508690006073479
"total_regfile_access",33831829,33832006,33831889," total number accesses of arch. regfile",33831829,33832006,177,90.0166651237425,0.50856872951267
"avg_issue_power_cc1",12.4694,12.448,12.4819," average power of issue unit per cycle_cc1",12.448,12.4819,0.0338999999999992,0.0171436091104913,0.505711183200346
"clock_power_cc3",112808618.537,112949758.2739,113037730.3721," total power usage of clock_cc3",112808618.537,113037730.3721,229111.835099995,115579.516911373,0.504467684355672
"avg_window_power_cc1",1.9095,1.9063,1.9146," avg power usage of instruction window_cc1",1.9063,1.9146,0.00829999999999997,0.00418608807042247,0.504347960291865
"avg_window_power_cc2",1.6938,1.6909,1.6982," avg power usage of instruction window_cc2",1.6909,1.6982,0.00729999999999986,0.00367559518989775,0.503506190396962
"lsq_latency",2.0834,2.0877,2.0906," avg LSQ occupant latency (cycle's)",2.0834,2.0906,0.00719999999999965,0.00362261415739132,0.503140855193264
"LSQ_count",56567248,56683709,56762449," cumulative LSQ occupancy",56567248,56762449,195201,98206.0610162801,0.503102243412073
"rename_power_cc1",4099777.0653,4099773.3036,4099768.288," total power usage of rename unit_cc1",4099768.288,4099777.0653,8.77729999972507,4.40355208010556,0.501697797755971
"dispatch_stage_power_cc1",4099777.0653,4099773.3036,4099768.288," total power usage of dispatch stage_cc1",4099768.288,4099777.0653,8.77729999972507,4.40355208010556,0.501697797755971
"total_window_access",99535719,99535893,99535794," total number accesses of instruction window",99535719,99535893,174,87.2754260946345,0.501582908589853
"avg_clock_power_cc3",9.2344,9.2299,9.2319," avg power usage of clock_cc3",9.2299,9.2344,0.00450000000000017,0.00225462487641158,0.501027750313665
"avg_issue_power_cc3",9.881,9.8693,9.8953," average power of issue unit per cycle_cc3",9.8693,9.8953,0.0259999999999998,0.0130216486411411,0.500832640043891
"avg_issue_power_cc2",8.0588,8.0449,8.0702," average power of issue unit per cycle_cc2",8.0449,8.0702,0.0252999999999997,0.0126705695741481,0.500813026646179
"bpred_power_cc1",15750729.2619,15750724.7387,15750733.785," total power usage of bpred unit_cc1",15750724.7387,15750733.785,9.04629999957979,4.52314999988201,0.500000000010183
"total_lsq_access",9169389,9169391,9169387," total number accesses of load/store queue",9169387,9169391,4,2,0.5
"sim_num_insn",25729108,25729108,25729108," total number of instructions committed",25729108,25729108,0,0,NA
"sim_num_refs",9061672,9061672,9061672," total number of loads and stores committed",9061672,9061672,0,0,NA
"sim_num_loads",6510002,6510002,6510002," total number of loads committed",6510002,6510002,0,0,NA
"sim_num_stores",2551670,2551670,2551670," total number of stores committed",2551670,2551670,0,0,NA
"sim_num_branches",3809455,3809455,3809455," total number of branches committed",3809455,3809455,0,0,NA
"sim_IPB",6.754,6.754,6.754," instruction per branch",6.754,6.754,0,0,NA
"bpred_bimod.updates",3809455,3809455,3809455," total number of updates",3809455,3809455,0,0,NA
"bpred_bimod.addr_hits",3660275,3660275,3660275," total number of address-predicted hits",3660275,3660275,0,0,NA
"bpred_bimod.dir_hits",3660840,3660840,3660840," total number of direction-predicted hits (includes addr-hits)",3660840,3660840,0,0,NA
"bpred_bimod.misses",148615,148615,148615," total number of misses",148615,148615,0,0,NA
"bpred_bimod.jr_hits",329020,329020,329020," total number of address-predicted hits for JR's",329020,329020,0,0,NA
"bpred_bimod.jr_seen",329260,329260,329260," total number of JR's seen",329260,329260,0,0,NA
"bpred_bimod.jr_non_ras_hits.PP",6286,6286,6286," total number of address-predicted hits for non-RAS JR's",6286,6286,0,0,NA
"bpred_bimod.jr_non_ras_seen.PP",6328,6328,6328," total number of non-RAS JR's seen",6328,6328,0,0,NA
"bpred_bimod.bpred_addr_rate",0.9608,0.9608,0.9608," branch address-prediction rate (i.e., addr-hits/updates)",0.9608,0.9608,0,0,NA
