"metric","C1","C2","C4","C8","desc","min","max","range","sd","index"
"alu_power",364219.8618,292716.9247,266180.3379,266180.3379," total power usage of alu",266180.3379,364219.8618,98039.5239,46318.2355962456,0.472444517820079
"resultbus_power",44179.4522,35506.2278,32287.3702,32287.3702," total power usage of resultbus",32287.3702,44179.4522,11892.082,5618.34894623826,0.472444517809267
"icache_power",47629.1126,38278.6576,34808.4622,34808.4622," total power usage of icache",34808.4622,47629.1126,12820.6504,6057.04599546008,0.472444517749277
"sim_CPI",2.0621,1.6573,1.507,1.507," cycles per instruction",1.507,2.0621,0.5551,0.262252302182459,0.472441545996144
"avg_lsq_power_cc3",0.118,0.1243,0.1284,0.1284," avg power usage of instruction lsq_cc3",0.118,0.1284,0.0104,0.0049128233566182,0.472386861213289
"avg_resultbus_access",0.467,0.6025,0.6905,0.6905," avg number accesses of resultbus",0.467,0.6905,0.2235,0.105574914160514,0.472370980583957
"avg_alu_power_cc2",0.5778,0.746,0.8537,0.8537," avg power usage of alu_cc2",0.5778,0.8537,0.2759,0.130298196457204,0.472266025578846
"avg_alu_access",0.496,0.6404,0.7328,0.7328," avg number accesses of alu",0.496,0.7328,0.2368,0.111831480362195,0.472261319097107
"dcache2_power_cc2",2035.0976,2051.934,2062.4568,2062.4568," total power usage of dcache2_cc2",2035.0976,2062.4568,27.3591999999999,12.9163160831562,0.472101380272677
"ul2.accesses",967,975,980,980," total number of accesses",967,980,13,6.13731754650732,0.472101349731332
"total_dcache2_access",967,975,980,980," total number accesses of dcache2",967,980,13,6.13731754650732,0.472101349731332
"avg_fetch_power_cc3",2.1047,1.8412,1.6768,1.6768," average power of fetch unit per cycle_cc3",1.6768,2.1047,0.4279,0.202007382290846,0.472090166606324
"avg_fetch_power_cc2",1.5828,1.2901,1.1075,1.1075," average power of fetch unit per cycle_cc2",1.1075,1.5828,0.4753,0.224384155337819,0.472089533637322
"avg_lsq_access",0.1156,0.1457,0.1642,0.1642," avg number accesses of lsq",0.1156,0.1642,0.0486,0.0229391041673384,0.471998028134534
"avg_fetch_power_cc1",1.7832,1.4949,1.318,1.318," average power of fetch unit per cycle_cc1",1.318,1.7832,0.4652,0.219568931849051,0.471988245591254
"avg_lsq_power_cc2",0.0274,0.0346,0.039,0.039," avg power usage of instruction lsq_cc2",0.0274,0.039,0.0116,0.00547479071137275,0.471964716497651
"fetch_stage_power_cc3",40471.4602,28453.301,23564.2359,23564.2359," total power usage of fetch stage_cc3",23564.2359,40471.4602,16907.2243,7978.88114922576,0.471921411087316
"avg_icache_power_cc3",1.4718,1.1595,0.9703,0.9703," avg power usage of icache_cc3",0.9703,1.4718,0.5015,0.236665916078622,0.471916083905527
"avg_icache_power_cc1",1.3601,1.0131,0.8029,0.8029," avg power usage of icache_cc1",0.8029,1.3601,0.5572,0.262951319956122,0.47191550602319
"avg_icache_power_cc2",1.3601,1.0131,0.8029,0.8029," avg power usage of icache_cc2",0.8029,1.3601,0.5572,0.262951319956122,0.47191550602319
"fetch_stage_power_cc1",34288.8706,23101.8148,18521.7334,18521.7334," total power usage of fetch stage_cc1",18521.7334,34288.8706,15767.1372,7440.37263684204,0.471891158329112
"lsq_power_cc1",1051.877,968.432,934.5052,934.526," total power usage of lsq_cc1",934.5052,1051.877,117.3718,55.3858508466738,0.471883798720594
"total_regfile_access",16775,14257,12743,12743," total number accesses of arch. regfile",12743,16775,4032,1902.60269105244,0.471875667423721
"icache_power_cc3",28301.5363,17918.9396,13635.0689,13635.0689," total power usage of icache_cc3",13635.0689,28301.5363,14666.4674,6920.45243327109,0.471855440340807
"avg_dcache_power_cc3",0.893,0.9744,1.023,1.023," avg power usage of dcache_cc3",0.893,1.023,0.13,0.0613391392179577,0.471839532445829
"clock_power_cc2",38611.8355,31371.849,28794.445,28833.9813," total power usage of clock_cc2",28794.445,38611.8355,9817.3905,4632.22715033013,0.471838942367641
"icache_power_cc1",26154.0278,15656.7487,11282.4696,11282.4696," total power usage of icache_cc1",11282.4696,26154.0278,14871.5582,7016.57555592865,0.471811726892791
"icache_power_cc2",26154.0278,15656.7487,11282.4696,11282.4696," total power usage of icache_cc2",11282.4696,26154.0278,14871.5582,7016.57555592865,0.471811726892791
"fetch_stage_power_cc2",30435.1669,19937.8878,15563.6087,15563.6087," total power usage of fetch stage_cc2",15563.6087,30435.1669,14871.5582,7016.57555592865,0.471811726892791
"avg_dcache_access",0.1156,0.1452,0.1627,0.1627," avg number accesses of dcache",0.1156,0.1627,0.0471,0.0222213860953812,0.471791636844611
"avg_dcache_power_cc2",0.3516,0.4418,0.4949,0.4949," avg power usage of dcache_cc2",0.3516,0.4949,0.1433,0.0676048814805558,0.47177167816159
"regfile_power_cc1",28497.9183,17214.0267,14082.7523,14309.4492," total power usage of arch. regfile_cc1",14082.7523,28497.9183,14415.166,6799.07295859659,0.471661093503647
"avg_alu_power_cc3",2.249,2.4733,2.6017,2.6017," avg power usage of alu_cc3",2.249,2.6017,0.3527,0.166352584891248,0.471654621183012
